I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.244,0.236,-0.008,,,,,,,,,
0.256,0.24,-0.015,,,,,,,,,
0.264,0.244,-0.019,,,,,,,,,
0.267,0.243,-0.023,,,,,,,,,
0.274,0.249,-0.025,,,,,,,,,
0.281,0.256,-0.025,,,,,,,,,
0.29,0.26,-0.029,,,,,,,,,
0.297,0.267,-0.029,,,,,,,,,
0.305,0.273,-0.032,,,,,,,,,
0.313,0.276,-0.037,,,,,,,,,
0.312,0.28,-0.032,,,,,,,,,
0.303,0.283,-0.019,,,,,,,,,
0.343,0.298,-0.044,,,,,,,,,
0.367,0.309,-0.058,,,,,,,,,
0.355,0.309,-0.046,,,,,,,,,
0.361,0.309,-0.051,,,,,,,,,
0.384,0.314,-0.07,,,,,,,,,
0.392,0.314,-0.077,,,,,,,,,
0.391,0.318,-0.073,,,,,,,,,
0.402,0.325,-0.075,,,,,,,,,
0.404,0.329,-0.074,,,,,,,,,
0.408,0.333,-0.075,,,,,,,,,
0.409,0.335,-0.074,,,,,,,,,
0.41,0.334,-0.075,,,,,,,,,
0.41,0.335,-0.074,,,,,,,,,
0.414,0.339,-0.075,,,,,,,,,
0.414,0.341,-0.074,,,,,,,,,
0.415,0.339,-0.075,,,,,,,,,
0.413,0.34,-0.073,,,,,,,,,
0.419,0.344,-0.074,,,,,,,,,
0.448,0.344,-0.102,,,,,,,,,
0.455,0.344,-0.111,,,,,,,,,
0.447,0.345,-0.102,,,,,,,,,
0.444,0.344,-0.099,,,,,,,,,
0.436,0.34,-0.095,,,,,,,,,
0.431,0.34,-0.091,,,,,,,,,
0.425,0.337,-0.087,,,,,,,,,
0.42,0.334,-0.085,,,,,,,,,
0.42,0.335,-0.085,,,,,,,,,
0.408,0.331,-0.077,,,,,,,,,
0.4,0.33,-0.069,,,,,,,,,
0.387,0.325,-0.061,,,,,,,,,
0.367,0.312,-0.054,,,,,,,,,
0.356,0.305,-0.05,,,,,,,,,
0.341,0.298,-0.043,,,,,,,,,
0.327,0.29,-0.037,,,,,,,,,
0.315,0.282,-0.032,,,,,,,,,
0.299,0.274,-0.025,,,,,,,,,
0.288,0.267,-0.021,,,,,,,,,
0.27,0.256,-0.014,,,,,,,,,
0.252,0.246,-0.007,,,,,,,,,
0.242,0.238,-0.004,,,,,,,,,
0.226,0.23,0.004,,,,,,,,,
0.21,0.223,0.012,,,,,,,,,
0.194,0.214,0.02,,,,,,,,,
0.179,0.208,0.027,,,,,,,,,
0.162,0.199,0.035,,,,,,,,,
0.144,0.187,0.042,,,,,,,,,
0.125,0.178,0.052,,,,,,,,,
0.116,0.171,0.054,,,,,,,,,
0.114,0.163,0.048,,,,,,,,,
0.11,0.155,0.044,,,,,,,,,
0.102,0.147,0.045,,,,,,,,,
0.097,0.139,0.042,,,,,,,,,
0.091,0.131,0.039,,,,,,,,,
0.085,0.124,0.04,,,,,,,,,
0.084,0.12,0.035,,,,,,,,,
0.086,0.117,0.03,,,,,,,,,
0.08,0.11,0.029,,,,,,,,,
0.073,0.103,0.029,,,,,,,,,
0.075,0.1,0.024,,,,,,,,,
0.076,0.096,0.019,,,,,,,,,
0.033,0.089,0.057,,,,,,,,,
-0.003,0.081,0.084,,,,,,,,,
0.0,0.073,0.073,,,,,,,,,
-0.008,0.065,0.074,,,,,,,,,
-0.016,0.058,0.074,,,,,,,,,
-0.024,0.05,0.075,,,,,,,,,
-0.031,0.043,0.074,,,,,,,,,
-0.035,0.039,0.075,,,,,,,,,
-0.039,0.035,0.075,,,,,,,,,
-0.04,0.034,0.075,,,,,,,,,
-0.038,0.035,0.073,,,,,,,,,
-0.034,0.034,0.07,,,,,,,,,
-0.034,0.035,0.07,,,,,,,,,
-0.038,0.031,0.069,,,,,,,,,
-0.04,0.029,0.07,,,,,,,,,
-0.039,0.03,0.069,,,,,,,,,
-0.04,0.029,0.07,,,,,,,,,
-0.039,0.03,0.069,,,,,,,,,
-0.044,0.026,0.07,,,,,,,,,
-0.043,0.024,0.067,,,,,,,,,
-0.039,0.025,0.064,,,,,,,,,
-0.039,0.024,0.064,,,,,,,,,
-0.04,0.025,0.065,,,,,,,,,
