I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.025,-0.034,-0.009,,,,,,,,,
-0.024,-0.035,-0.01,,,,,,,,,
-0.027,-0.034,-0.007,,,,,,,,,
-0.031,-0.035,-0.003,,,,,,,,,
-0.029,-0.034,-0.005,,,,,,,,,
-0.029,-0.035,-0.005,,,,,,,,,
-0.033,-0.034,-0.001,,,,,,,,,
-0.035,-0.035,0.0,,,,,,,,,
-0.034,-0.034,0.0,,,,,,,,,
-0.035,-0.035,0.0,,,,,,,,,
-0.034,-0.034,0.0,,,,,,,,,
-0.038,-0.035,0.003,,,,,,,,,
-0.04,-0.034,0.005,,,,,,,,,
-0.039,-0.035,0.004,,,,,,,,,
-0.039,-0.034,0.004,,,,,,,,,
-0.043,-0.035,0.008,,,,,,,,,
-0.044,-0.034,0.01,,,,,,,,,
-0.045,-0.035,0.01,,,,,,,,,
-0.044,-0.034,0.009,,,,,,,,,
-0.04,-0.034,0.005,,,,,,,,,
-0.043,-0.038,0.005,,,,,,,,,
-0.042,-0.039,0.002,,,,,,,,,
-0.04,-0.04,0.0,,,,,,,,,
-0.044,-0.044,0.0,,,,,,,,,
-0.041,-0.044,-0.003,,,,,,,,,
-0.04,-0.045,-0.004,,,,,,,,,
-0.038,-0.044,-0.006,,,,,,,,,
-0.034,-0.045,-0.01,,,,,,,,,
-0.034,-0.044,-0.01,,,,,,,,,
-0.031,-0.045,-0.013,,,,,,,,,
-0.028,-0.044,-0.016,,,,,,,,,
-0.031,-0.045,-0.013,,,,,,,,,
,-0.044,,0.04,-0.011,-0.027,,,,,,
,-0.044,,0.04,-0.012,-0.026,,,,,,
,-0.045,,0.04,-0.012,-0.027,,,,,,
,-0.044,,0.039,-0.011,-0.027,,,,,,
,-0.045,,0.04,-0.012,-0.026,,,,,,
,-0.044,,0.039,-0.011,-0.027,,,,,,
,-0.045,,0.042,-0.015,-0.025,,,,,,
,-0.044,,0.043,-0.017,-0.024,,,,,,
,-0.045,,0.042,-0.016,-0.025,,,,,,
,-0.044,,0.043,-0.017,-0.024,,,,,,
,-0.045,,0.042,-0.016,-0.025,,,,,,
,-0.044,,0.043,-0.017,-0.024,,,,,,
,-0.045,,0.042,-0.016,-0.025,,,,,,
,-0.044,,0.043,-0.017,-0.024,,,,,,
,-0.045,,0.044,-0.021,-0.022,,,,,,
,-0.044,,0.045,-0.022,-0.021,,,,,,
,-0.045,,0.044,-0.022,-0.022,,,,,,
,-0.044,,0.044,-0.021,-0.022,,,,,,
,-0.045,,0.045,-0.022,-0.022,,,,,,
,-0.049,,0.049,-0.024,-0.024,,,,,,
,-0.05,,0.051,-0.028,-0.023,,,,,,
,-0.049,,0.051,-0.03,-0.021,,,,,,
,-0.05,,0.052,-0.029,-0.022,,,,,,
,-0.049,,0.051,-0.029,-0.021,,,,,,
,-0.05,,0.052,-0.03,-0.022,,,,,,
,-0.049,,0.051,-0.029,-0.021,,,,,,
,-0.05,,0.052,-0.03,-0.022,,,,,,
,-0.049,,0.051,-0.029,-0.022,,,,,,
,-0.05,,0.05,-0.025,-0.024,,,,,,
,-0.049,,0.048,-0.02,-0.026,,,,,,
,-0.05,,0.048,-0.02,-0.027,,,,,,
,-0.049,,0.047,-0.019,-0.027,,,,,,
,-0.05,,0.045,-0.015,-0.029,,,,,,
,-0.053,,0.048,-0.016,-0.031,,,,,,
,-0.055,,0.049,-0.015,-0.033,,,,,,
,-0.054,,0.046,-0.009,-0.036,,,,,,
,-0.055,,0.044,-0.006,-0.037,,,,,,
,-0.054,,0.044,-0.006,-0.037,,,,,,
,-0.055,,0.043,-0.003,-0.039,,,,,,
,-0.054,,0.042,0.0,-0.04,,,,,,
,-0.055,,0.043,-0.003,-0.038,,,,,,
,-0.055,,0.045,-0.007,-0.036,,,,,,
,-0.054,,0.047,-0.011,-0.034,,,,,,
,-0.054,,0.048,-0.014,-0.033,,,,,,
,-0.055,,0.05,-0.018,-0.031,,,,,,
,-0.054,,0.053,-0.022,-0.03,,,,,,
,-0.055,,0.055,-0.026,-0.027,,,,,,
,-0.051,,0.053,-0.03,-0.022,,,,,,
,-0.049,,0.048,-0.024,-0.024,,,,,,
,-0.05,,0.042,-0.009,-0.033,,,,,,
,-0.049,,0.038,0.0,-0.036,,,,,,
,-0.05,,0.039,-0.003,-0.035,,,,,,
,-0.049,,0.042,-0.008,-0.032,,,,,,
,-0.05,,0.043,-0.012,-0.031,,,,,,
,-0.049,,0.045,-0.015,-0.029,,,,,,
,-0.05,,0.047,-0.019,-0.027,,,,,,
,-0.049,,0.049,-0.023,-0.025,,,,,,
,-0.05,,0.051,-0.028,-0.022,,,,,,
,-0.049,,0.051,-0.028,-0.022,,,,,,
,-0.05,,0.05,-0.025,-0.025,,,,,,
,-0.049,,0.05,-0.024,-0.024,,,,,,
,-0.05,,0.048,-0.021,-0.026,,,,,,
,-0.049,,0.047,-0.018,-0.027,,,,,,
,-0.05,,0.048,-0.02,-0.026,,,,,,
,-0.049,,0.049,-0.024,-0.025,,,,,,
,-0.05,,0.049,-0.025,-0.025,,,,,,
,-0.049,,0.05,-0.027,-0.023,,,,,,
,-0.05,,0.052,-0.03,-0.021,,,,,,
,-0.049,,0.051,-0.029,-0.022,,,,,,
,-0.05,,0.052,-0.029,-0.021,,,,,,
,-0.049,,0.053,-0.033,-0.02,,,,,,
,-0.05,,0.055,-0.034,-0.019,,,,,,
,-0.05,,0.055,-0.035,-0.019,,,,,,
,-0.049,,0.057,-0.039,-0.017,,,,,,
,-0.049,,0.056,-0.039,-0.016,,,,,,
,-0.053,,0.06,-0.041,-0.018,,,,,,
,-0.055,,0.061,-0.04,-0.021,,,,,,
,-0.055,,0.059,-0.036,-0.022,,,,,,
,-0.054,,0.059,-0.037,-0.022,,,,,,
,-0.055,,0.06,-0.037,-0.021,,,,,,
,-0.054,,0.059,-0.036,-0.022,,,,,,
,-0.055,,0.06,-0.037,-0.021,,,,,,
,-0.054,,0.059,-0.036,-0.022,,,,,,
,-0.05,,0.052,-0.03,-0.021,,,,,,
,-0.05,,0.051,-0.029,-0.022,,,,,,
,-0.049,,0.052,-0.03,-0.021,,,,,,
,-0.049,,0.052,-0.03,-0.021,,,,,,
,-0.05,,0.051,-0.03,-0.022,,,,,,
,-0.049,,0.052,-0.029,-0.021,,,,,,
,-0.049,,0.052,-0.03,-0.022,,,,,,
,-0.05,,0.051,-0.028,-0.022,,,,,,
,-0.049,,0.05,-0.025,-0.024,,,,,,
,-0.05,,0.05,-0.025,-0.025,,,,,,
,-0.049,,0.049,-0.024,-0.024,,,,,,
,-0.05,,0.05,-0.025,-0.024,,,,,,
,-0.049,,0.049,-0.024,-0.025,,,,,,
,-0.05,,0.05,-0.024,-0.024,,,,,,
,-0.049,,0.048,-0.02,-0.026,,,,,,
,-0.05,,0.047,-0.019,-0.027,,,,,,
,-0.049,,0.048,-0.019,-0.026,,,,,,
,-0.05,,0.048,-0.02,-0.027,,,,,,
,-0.049,,0.047,-0.019,-0.026,,,,,,
,-0.05,,0.048,-0.02,-0.027,,,,,,
,-0.049,,0.047,-0.018,-0.026,,,,,,
,-0.05,,0.048,-0.021,-0.026,,,,,,
,-0.049,,0.051,-0.03,-0.021,,,,,,
,-0.05,,0.056,-0.039,-0.016,,,,,,
,-0.05,,0.056,-0.037,-0.018,,,,,,
,-0.049,,0.054,-0.034,-0.02,,,,,,
,-0.05,,0.055,-0.035,-0.019,,,,,,
,-0.05,,0.055,-0.035,-0.02,,,,,,
,-0.046,,0.049,-0.028,-0.019,,,,,,
,-0.045,,0.047,-0.026,-0.02,,,,,,
,-0.043,,0.045,-0.026,-0.019,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.039,,0.044,-0.029,-0.015,,,,,,
,-0.036,,0.043,-0.031,-0.011,,,,,,
,-0.034,,0.041,-0.032,-0.009,,,,,,
,-0.034,,0.041,-0.032,-0.009,,,,,,
,-0.029,,0.039,-0.034,-0.004,,,,,,
,-0.026,,0.038,-0.038,0.0,,,,,,
,-0.022,,0.031,-0.031,-0.001,,,,,,
,-0.019,,0.037,-0.046,0.007,,,,,,
,-0.019,,0.052,-0.076,0.023,,,,,,
,-0.015,,0.045,-0.068,0.022,,,,,,
,-0.01,,0.04,-0.064,0.023,,,,,,
,-0.01,,0.039,-0.065,0.024,,,,,,
,-0.009,,0.038,-0.064,0.025,,,,,,
,-0.005,,0.034,-0.062,0.026,,,,,,
,0.0,,0.03,-0.059,0.029,,,,,,
,0.0,,0.031,-0.06,0.03,,,,,,
,0.004,,0.025,-0.058,0.031,,,,,,
,0.017,,0.013,-0.051,0.037,,,,,,
,0.024,,0.002,-0.043,0.039,,,,,,
,0.031,,-0.004,-0.039,0.043,,,,,,
,0.039,,-0.012,-0.035,0.047,,,,,,
,0.047,,-0.02,-0.031,0.051,,,,,,
,0.055,,-0.028,-0.027,0.054,,,,,,
,0.064,,-0.037,-0.023,0.059,,,,,,
,0.062,,-0.035,-0.023,0.058,,,,,,
,0.058,,-0.031,-0.025,0.056,,,,,,
,0.06,,-0.033,-0.024,0.057,,,,,,
,0.06,,-0.034,-0.019,0.055,,,,,,
,0.056,,-0.033,-0.018,0.051,,,,,,
,0.054,,-0.032,-0.016,0.047,,,,,,
,0.056,,-0.036,-0.01,0.046,,,,,,
,0.053,,-0.037,-0.008,0.044,,,,,,
,0.046,,-0.03,-0.012,0.04,,,,,,
,0.042,,-0.025,-0.011,0.037,,,,,,
,0.036,,-0.022,-0.009,0.031,,,,,,
,0.028,,-0.016,-0.009,0.025,,,,,,
,0.024,,-0.015,-0.008,0.022,,,,,,
,0.017,,-0.009,-0.007,0.016,,,,,,
,0.012,,-0.005,-0.008,0.013,,,,,,
,0.007,,0.0,-0.01,0.009,,,,,,
,0.0,,0.005,-0.009,0.004,,,,,,
,-0.004,,0.009,-0.011,0.002,,,,,,
,-0.011,,0.016,-0.015,-0.001,,,,,,
,-0.017,,0.022,-0.018,-0.003,,,,,,
,-0.021,,0.026,-0.02,-0.006,,,,,,
,-0.029,,0.032,-0.019,-0.012,,,,,,
,-0.032,,0.034,-0.02,-0.014,,,,,,
,-0.042,,0.044,-0.026,-0.019,,,,,,
,-0.054,,0.056,-0.031,-0.023,,,,,,
,-0.061,,0.062,-0.035,-0.027,,,,,,
,-0.069,,0.068,-0.034,-0.034,,,,,,
,-0.074,,0.074,-0.036,-0.036,,,,,,
,-0.072,,0.072,-0.036,-0.035,,,,,,
,-0.069,,0.068,-0.034,-0.034,,,,,,
,-0.07,,0.07,-0.035,-0.035,,,,,,
,-0.069,,0.069,-0.034,-0.035,,,,,,
,-0.069,,0.069,-0.032,-0.035,,,,,,
,-0.07,,0.068,-0.029,-0.036,,,,,,
,-0.069,,0.068,-0.029,-0.036,,,,,,
,-0.07,,0.067,-0.03,-0.037,,,,,,
,-0.069,,0.068,-0.03,-0.036,,,,,,
,-0.07,,0.066,-0.027,-0.038,,,,,,
,-0.069,,0.064,-0.024,-0.039,,,,,,
,-0.07,,0.065,-0.024,-0.04,,,,,,
,-0.069,,0.064,-0.024,-0.039,,,,,,
,-0.072,,0.067,-0.026,-0.04,,,,,,
,-0.078,,0.072,-0.027,-0.043,,,,,,
,-0.079,,0.075,-0.03,-0.044,,,,,,
,-0.079,,0.078,-0.034,-0.042,,,,,,
,-0.08,,0.077,-0.034,-0.042,,,,,,
,-0.079,,0.079,-0.037,-0.04,,,,,,
,-0.08,,0.08,-0.04,-0.039,,,,,,
,-0.079,,0.08,-0.039,-0.04,,,,,,
,-0.08,,0.079,-0.039,-0.039,,,,,,
,-0.08,,0.081,-0.043,-0.037,,,,,,
,-0.079,,0.082,-0.045,-0.036,,,,,,
,-0.08,,0.082,-0.046,-0.036,,,,,,
,-0.079,,0.084,-0.049,-0.035,,,,,,
,-0.08,,0.084,-0.049,-0.035,,,,,,
,-0.079,,0.085,-0.05,-0.034,,,,,,
,-0.08,,0.084,-0.048,-0.035,,,,,,
,-0.079,,0.081,-0.043,-0.037,,,,,,
,-0.08,,0.079,-0.04,-0.039,,,,,,
,-0.079,,0.08,-0.04,-0.039,,,,,,
,-0.08,,0.079,-0.039,-0.04,,,,,,
,-0.079,,0.076,-0.032,-0.043,,,,,,
,-0.08,,0.075,-0.03,-0.045,,,,,,
,-0.079,,0.075,-0.031,-0.044,,,,,,
,-0.08,,0.065,-0.011,-0.054,,,,,,
,-0.079,,0.058,0.002,-0.06,,,,,,
,-0.08,,0.064,-0.006,-0.056,,,,,,
,-0.079,,0.064,-0.009,-0.054,,,,,,
,-0.08,,0.066,-0.013,-0.053,,,,,,
,-0.078,,0.07,-0.02,-0.048,,,,,,
,-0.082,,0.063,-0.001,-0.06,,,,,,
,-0.078,,0.022,0.072,-0.094,,,,,,
,-0.045,,-0.04,0.15,-0.11,,,,,,
,-0.024,,-0.065,0.166,-0.101,,,,,,
,0.034,,-0.117,0.182,-0.064,,,,,,
,0.131,,-0.21,0.224,-0.013,,,,,,
,0.211,,-0.287,0.255,0.03,,,,,,
,0.292,,-0.365,0.293,0.072,,,,,,
,0.377,,-0.444,0.324,0.12,,,,,,
,0.439,,-0.498,0.338,0.16,,,,,,
,0.446,,-0.497,0.325,0.171,,,,,,
,0.394,,-0.437,0.283,0.154,,,,,,
,0.34,,-0.38,0.25,0.129,,,,,,
,0.295,,-0.312,0.182,0.13,,,,,,
,0.254,,-0.226,0.07,0.154,,,,,,
,0.215,,-0.124,-0.073,0.197,,,,,,
,0.152,,0.034,-0.299,0.263,,,,,,
,0.092,,0.146,-0.43,0.283,,,,,,
,0.034,,0.202,-0.455,0.252,,,,,,
,-0.016,,0.246,-0.468,0.221,,,,,,
,-0.048,,0.271,-0.47,0.199,,,,,,
,-0.066,,0.265,-0.43,0.165,,,,,,
,-0.133,,0.299,-0.399,0.099,,,,,,
,-0.217,,0.354,-0.383,0.028,,,,,,
,-0.26,,0.361,-0.331,-0.029,,,,,,
,-0.286,,0.358,-0.287,-0.07,,,,,,
,-0.299,,0.341,-0.232,-0.107,,,,,,
,-0.309,,0.333,-0.201,-0.131,,,,,,
,-0.322,,0.335,-0.187,-0.149,,,,,,
,-0.334,,0.337,-0.174,-0.164,,,,,,
,-0.328,,0.324,-0.156,-0.167,,,,,,
,-0.321,,0.313,-0.143,-0.169,,,,,,
,-0.317,,0.303,-0.13,-0.172,,,,,,
,-0.309,,0.293,-0.119,-0.172,,,,,,
,-0.307,,0.282,-0.105,-0.176,,,,,,
,-0.285,,0.256,-0.083,-0.171,,,,,,
,-0.254,,0.219,-0.055,-0.163,,,,,,
,-0.228,,0.192,-0.04,-0.15,,,,,,
,-0.2,,0.171,-0.039,-0.13,,,,,,
,-0.172,,0.147,-0.034,-0.111,,,,,,
,-0.149,,0.126,-0.028,-0.096,,,,,,
,-0.124,,0.107,-0.027,-0.079,,,,,,
,-0.103,,0.091,-0.027,-0.063,,,,,,
,-0.095,,0.087,-0.031,-0.056,,,,,,
,-0.088,,0.085,-0.036,-0.048,,,,,,
,-0.08,,0.077,-0.033,-0.042,,,,,,
,-0.072,,0.066,-0.024,-0.041,,,,,,
,-0.065,,0.058,-0.017,-0.04,,,,,,
,-0.057,,0.05,-0.013,-0.036,,,,,,
,-0.052,,0.045,-0.011,-0.033,,,,,,
,-0.048,,0.041,-0.009,-0.031,,,,,,
,-0.045,,0.038,-0.007,-0.03,,,,,,
,-0.044,,0.037,-0.007,-0.029,,,,,,
,-0.045,,0.037,-0.006,-0.03,,,,,,
,-0.044,,0.038,-0.007,-0.029,,,,,,
,-0.045,,0.037,-0.006,-0.03,,,,,,
,-0.044,,0.038,-0.007,-0.029,,,,,,
,-0.044,,0.037,-0.006,-0.029,,,,,,
,-0.045,,0.038,-0.007,-0.03,,,,,,
,-0.043,,0.036,-0.006,-0.028,,,,,,
,-0.039,,0.032,-0.005,-0.026,,,,,,
,-0.039,,0.032,-0.004,-0.027,,,,,,
,-0.04,,0.033,-0.005,-0.026,,,,,,
,-0.039,,0.032,-0.004,-0.027,,,,,,
,-0.039,,0.033,-0.005,-0.026,,,,,,
,-0.04,,0.033,-0.004,-0.027,,,,,,
,-0.039,,0.032,-0.004,-0.026,,,,,,
,-0.04,,0.033,-0.005,-0.027,,,,,,
,-0.038,,0.031,-0.003,-0.025,,,,,,
,-0.034,,0.027,-0.001,-0.024,,,,,,
,-0.035,,0.028,-0.002,-0.025,,,,,,
,-0.034,,0.027,-0.001,-0.024,,,,,,
,-0.035,,0.028,-0.002,-0.025,,,,,,
,-0.034,,0.027,-0.001,-0.024,,,,,,
,-0.035,,0.028,-0.002,-0.025,,,,,,
,-0.035,,0.027,-0.001,-0.024,,,,,,
,-0.034,,0.028,-0.004,-0.023,,,,,,
,-0.035,,0.032,-0.009,-0.021,,,,,,
,-0.034,,0.032,-0.011,-0.019,,,,,,
,-0.029,,0.027,-0.009,-0.017,,,,,,
,-0.029,,0.028,-0.013,-0.015,,,,,,
,-0.031,,0.032,-0.018,-0.013,,,,,,
,-0.028,,0.03,-0.019,-0.01,,,,,,
,-0.024,,0.026,-0.016,-0.01,,,,,,
,-0.025,,0.024,-0.012,-0.011,,,,,,
,-0.025,,0.023,-0.008,-0.014,,,,,,
,-0.022,,0.02,-0.005,-0.013,,,,,,
,-0.019,,0.016,-0.003,-0.012,,,,,,
,-0.02,,0.014,0.0,-0.015,,,,,,
,-0.019,,0.013,0.004,-0.017,,,,,,
,-0.017,,0.01,0.006,-0.016,,,,,,
,-0.014,,0.006,0.009,-0.014,,,,,,
,-0.014,,0.004,0.012,-0.016,,,,,,
,-0.015,,0.005,0.012,-0.017,,,,,,
,-0.011,,0.001,0.014,-0.015,,,,,,
,-0.008,,-0.001,0.015,-0.014,,,,,,
,-0.01,,0.0,0.014,-0.014,,,,,,
,-0.009,,0.0,0.015,-0.015,,,,,,
,-0.005,,-0.004,0.017,-0.012,,,,,,
,-0.004,,-0.005,0.018,-0.011,,,,,,
,-0.006,,-0.004,0.018,-0.012,,,,,,
,-0.004,,-0.005,0.017,-0.011,,,,,,
,0.0,,-0.01,0.019,-0.01,,,,,,
,0.0,,-0.011,0.024,-0.011,,,,,,
,0.0,,-0.012,0.025,-0.012,,,,,,
,0.0,,-0.011,0.024,-0.011,,,,,,
,0.0,,-0.012,0.025,-0.012,,,,,,
,0.008,,-0.02,0.028,-0.008,,,,,,
,0.018,,-0.03,0.034,-0.003,,,,,,
,0.018,,-0.03,0.034,-0.002,,,,,,
,0.013,,-0.026,0.031,-0.005,,,,,,
,0.014,,-0.026,0.031,-0.004,,,,,,
,0.014,,-0.026,0.033,-0.005,,,,,,
,0.015,,-0.025,0.028,-0.003,,,,,,
,0.014,,-0.03,0.039,-0.008,,,,,,
,0.014,,-0.041,0.059,-0.017,,,,,,
,0.014,,-0.041,0.061,-0.02,,,,,,
,0.019,,-0.046,0.064,-0.017,,,,,,
,0.018,,-0.045,0.064,-0.017,,,,,,
,0.023,,-0.05,0.066,-0.015,,,,,,
,0.04,,-0.067,0.075,-0.006,,,,,,
,0.045,,-0.072,0.077,-0.004,,,,,,
,0.043,,-0.07,0.077,-0.004,,,,,,
,0.047,,-0.074,0.078,-0.003,,,,,,
,0.049,,-0.076,0.08,-0.001,,,,,,
,0.049,,-0.076,0.08,-0.001,,,,,,
,0.057,,-0.084,0.083,0.0,,,,,,
,0.063,,-0.09,0.086,0.003,,,,,,
,0.066,,-0.093,0.088,0.006,,,,,,
,0.07,,-0.097,0.09,0.006,,,,,,
,0.07,,-0.097,0.09,0.007,,,,,,
,0.073,,-0.1,0.091,0.009,,,,,,
,0.074,,-0.102,0.092,0.009,,,,,,
,0.075,,-0.102,0.092,0.01,,,,,,
,0.084,,-0.109,0.091,0.016,,,,,,
,0.092,,-0.118,0.098,0.019,,,,,,
,0.097,,-0.118,0.088,0.028,,,,,,
,0.101,,-0.127,0.102,0.024,,,,,,
,0.105,,-0.147,0.139,0.009,,,,,,
,0.109,,-0.149,0.136,0.013,,,,,,
,0.116,,-0.156,0.136,0.019,,,,,,
,0.122,,-0.162,0.142,0.02,,,,,,
,0.127,,-0.167,0.142,0.023,,,,,,
,0.134,,-0.174,0.147,0.026,,,,,,
,0.139,,-0.178,0.149,0.029,,,,,,
,0.142,,-0.183,0.151,0.03,,,,,,
,0.146,,-0.185,0.151,0.033,,,,,,
,0.15,,-0.194,0.163,0.03,,,,,,
,0.154,,-0.213,0.193,0.018,,,,,,
,0.157,,-0.22,0.205,0.015,,,,,,
,0.164,,-0.226,0.206,0.019,,,,,,
,0.171,,-0.233,0.211,0.022,,,,,,
,0.174,,-0.236,0.211,0.025,,,,,,
,0.181,,-0.244,0.215,0.027,,,,,,
,0.2,,-0.262,0.223,0.037,,,,,,
,0.214,,-0.277,0.235,0.043,,,,,,
,0.214,,-0.274,0.227,0.047,,,,,,
,0.214,,-0.27,0.216,0.052,,,,,,
,0.218,,-0.289,0.25,0.037,,,,,,
,0.22,,-0.299,0.268,0.031,,,,,,
,0.22,,-0.294,0.257,0.036,,,,,,
,0.225,,-0.3,0.263,0.037,,,,,,
,0.229,,-0.303,0.263,0.039,,,,,,
,0.233,,-0.308,0.267,0.04,,,,,,
,0.238,,-0.311,0.266,0.044,,,,,,
,0.246,,-0.318,0.268,0.051,,,,,,
,0.25,,-0.321,0.269,0.051,,,,,,
,0.247,,-0.319,0.268,0.05,,,,,,
,0.241,,-0.313,0.265,0.048,,,,,,
,0.24,,-0.312,0.265,0.046,,,,,,
,0.239,,-0.311,0.264,0.047,,,,,,
,0.235,,-0.305,0.257,0.047,,,,,,
,0.234,,-0.305,0.257,0.046,,,,,,
,0.232,,-0.302,0.255,0.045,,,,,,
,0.229,,-0.299,0.255,0.044,,,,,,
,0.23,,-0.3,0.255,0.044,,,,,,
,0.226,,-0.294,0.249,0.045,,,,,,
,0.221,,-0.288,0.245,0.043,,,,,,
,0.219,,-0.286,0.244,0.041,,,,,,
,0.219,,-0.286,0.244,0.042,,,,,,
,0.215,,-0.282,0.242,0.04,,,,,,
,0.214,,-0.283,0.243,0.039,,,,,,
,0.212,,-0.277,0.236,0.04,,,,,,
,0.21,,-0.27,0.227,0.043,,,,,,
,0.209,,-0.266,0.22,0.047,,,,,,
,0.197,,-0.252,0.209,0.042,,,,,,
,0.188,,-0.241,0.198,0.041,,,,,,
,0.179,,-0.227,0.184,0.041,,,,,,
,0.168,,-0.213,0.173,0.039,,,,,,
,0.16,,-0.202,0.165,0.037,,,,,,
,0.148,,-0.187,0.152,0.034,,,,,,
,0.139,,-0.173,0.138,0.035,,,,,,
,0.132,,-0.163,0.128,0.034,,,,,,
,0.124,,-0.151,0.116,0.035,,,,,,
,0.12,,-0.143,0.106,0.036,,,,,,
,0.113,,-0.132,0.095,0.036,,,,,,
,0.107,,-0.122,0.084,0.038,,,,,,
,0.103,,-0.114,0.074,0.04,,,,,,
,0.095,,-0.104,0.067,0.036,,,,,,
,0.092,,-0.099,0.06,0.037,,,,,,
,0.08,,-0.087,0.055,0.032,,,,,,
,0.064,,-0.07,0.045,0.024,,,,,,
,0.053,,-0.057,0.036,0.021,,,,,,
,0.037,,-0.042,0.027,0.013,,,,,,
,0.024,,-0.027,0.019,0.007,,,,,,
,0.017,,-0.017,0.01,0.007,,,,,,
,0.013,,-0.014,0.006,0.006,,,,,,
,0.01,,-0.01,0.005,0.004,,,,,,
,0.01,,-0.008,0.001,0.006,,,,,,
,0.008,,-0.006,0.0,0.005,,,,,,
,0.002,,0.0,-0.008,0.005,,,,,,
,0.0,,0.011,-0.022,0.011,,,,,,
,0.0,,0.014,-0.029,0.014,,,,,,
,-0.007,,0.019,-0.029,0.009,,,,,,
,-0.012,,0.024,-0.03,0.005,,,,,,
,-0.017,,0.029,-0.033,0.003,,,,,,
,-0.025,,0.037,-0.037,0.0,,,,,,
,-0.029,,0.041,-0.04,-0.001,,,,,,
,-0.035,,0.046,-0.04,-0.006,,,,,,
,-0.042,,0.051,-0.04,-0.01,,,,,,
,-0.045,,0.055,-0.042,-0.011,,,,,,
,-0.049,,0.059,-0.044,-0.014,,,,,,
,-0.053,,0.063,-0.046,-0.015,,,,,,
,-0.057,,0.065,-0.046,-0.019,,,,,,
,-0.061,,0.068,-0.044,-0.022,,,,,,
,-0.065,,0.072,-0.047,-0.025,,,,,,
,-0.069,,0.076,-0.05,-0.027,,,,,,
,-0.069,,0.076,-0.049,-0.026,,,,,,
,-0.071,,0.078,-0.051,-0.028,,,,,,
,-0.075,,0.082,-0.05,-0.03,,,,,,
,-0.075,,0.08,-0.047,-0.031,,,,,,
,-0.074,,0.079,-0.046,-0.032,,,,,,
,-0.075,,0.08,-0.046,-0.032,,,,,,
,-0.074,,0.079,-0.047,-0.031,,,,,,
,-0.075,,0.079,-0.046,-0.032,,,,,,
,-0.074,,0.077,-0.042,-0.034,,,,,,
,-0.075,,0.076,-0.041,-0.035,,,,,,
,-0.074,,0.077,-0.041,-0.034,,,,,,
,-0.075,,0.076,-0.042,-0.035,,,,,,
,-0.074,,0.077,-0.041,-0.034,,,,,,
,-0.075,,0.076,-0.042,-0.035,,,,,,
,-0.074,,0.078,-0.044,-0.033,,,,,,
,-0.075,,0.081,-0.049,-0.03,,,,,,
,-0.074,,0.082,-0.051,-0.029,,,,,,
,-0.075,,0.082,-0.052,-0.029,,,,,,
,-0.074,,0.083,-0.054,-0.027,,,,,,
,-0.075,,0.086,-0.059,-0.025,,,,,,
,-0.074,,0.086,-0.062,-0.024,,,,,,
,-0.075,,0.086,-0.062,-0.025,,,,,,
,-0.074,,0.085,-0.057,-0.026,,,,,,
,-0.075,,0.085,-0.056,-0.027,,,,,,
,-0.074,,0.084,-0.057,-0.026,,,,,,
,-0.075,,0.085,-0.057,-0.027,,,,,,
,-0.074,,0.084,-0.056,-0.026,,,,,,
,-0.075,,0.085,-0.057,-0.027,,,,,,
,-0.074,,0.084,-0.056,-0.026,,,,,,
,-0.075,,0.085,-0.057,-0.027,,,,,,
,-0.075,,0.084,-0.056,-0.026,,,,,,
,-0.074,,0.084,-0.057,-0.027,,,,,,
,-0.071,,0.081,-0.055,-0.025,,,,,,
,-0.07,,0.08,-0.055,-0.025,,,,,,
,-0.069,,0.079,-0.055,-0.025,,,,,,
,-0.065,,0.075,-0.052,-0.022,,,,,,
,-0.065,,0.075,-0.051,-0.021,,,,,,
,-0.062,,0.072,-0.051,-0.021,,,,,,
,-0.059,,0.069,-0.05,-0.02,,,,,,
,-0.059,,0.069,-0.049,-0.019,,,,,,
,-0.06,,0.07,-0.05,-0.02,,,,,,
,-0.056,,0.066,-0.047,-0.017,,,,,,
,-0.054,,0.064,-0.046,-0.016,,,,,,
,-0.053,,0.063,-0.046,-0.016,,,,,,
,-0.05,,0.06,-0.044,-0.014,,,,,,
,-0.05,,0.06,-0.045,-0.015,,,,,,
,-0.047,,0.057,-0.043,-0.012,,,,,,
,-0.044,,0.054,-0.042,-0.011,,,,,,
,-0.045,,0.055,-0.041,-0.012,,,,,,
,-0.044,,0.054,-0.042,-0.012,,,,,,
,-0.048,,0.056,-0.04,-0.015,,,,,,
,-0.05,,0.057,-0.039,-0.017,,,,,,
,-0.049,,0.056,-0.04,-0.016,,,,,,
,-0.05,,0.057,-0.039,-0.017,,,,,,
,-0.049,,0.056,-0.04,-0.016,,,,,,
,-0.05,,0.056,-0.039,-0.017,,,,,,
,-0.049,,0.057,-0.04,-0.016,,,,,,
,-0.05,,0.056,-0.039,-0.017,,,,,,
,-0.049,,0.057,-0.04,-0.016,,,,,,
,-0.05,,0.056,-0.039,-0.017,,,,,,
,-0.049,,0.057,-0.04,-0.016,,,,,,
,-0.05,,0.056,-0.039,-0.017,,,,,,
,-0.049,,0.057,-0.04,-0.016,,,,,,
,-0.05,,0.056,-0.04,-0.017,,,,,,
